concept_id,hvd_tag,concept_path,concept_label
c_dd313021,HVD_dd313021,Erdbeobachtung und Umwelt,Erdbeobachtung und Umwelt
c_38933a65,HVD_38933a65,Erdbeobachtung und Umwelt / Abfall,Abfall
c_af646f5b,HVD_af646f5b,Erdbeobachtung und Umwelt / Bewirtschaftungsgebiete/Schutzgebiete/geregelte Gebiete und Berichterstattungseinheiten,Bewirtschaftungsgebiete/Schutzgebiete/geregelte Gebiete und Berichterstattungseinheiten
c_c873f344,HVD_c873f344,Erdbeobachtung und Umwelt / Biogeografische Regionen,Biogeografische Regionen
c_87a129d9,HVD_87a129d9,Erdbeobachtung und Umwelt / Boden,Boden
c_b21e1296,HVD_b21e1296,Erdbeobachtung und Umwelt / Bodenbedeckung,Bodenbedeckung
c_ad9ae929,HVD_ad9ae929,Erdbeobachtung und Umwelt / Bodennutzung,Bodennutzung
c_4ba9548e,HVD_4ba9548e,Erdbeobachtung und Umwelt / Emissionen,Emissionen
c_b7de66cd,HVD_b7de66cd,Erdbeobachtung und Umwelt / Energiequellen,Energiequellen
c_b7f6a4f3,HVD_b7f6a4f3,Erdbeobachtung und Umwelt / Erhaltung der Natur und der biologischen Vielfalt,Erhaltung der Natur und der biologischen Vielfalt
c_63be22bd,HVD_63be22bd,Erdbeobachtung und Umwelt / Gebiete mit naturbedingten Risiken,Gebiete mit naturbedingten Risiken
c_e3f55603,HVD_e3f55603,Erdbeobachtung und Umwelt / Geologie,Geologie
c_06b1eec4,HVD_06b1eec4,Erdbeobachtung und Umwelt / Gewässernetz,Gewässernetz
c_4d63300b,HVD_4d63300b,Erdbeobachtung und Umwelt / Horizontale Rechtsvorschriften,Horizontale Rechtsvorschriften
c_315692ad,HVD_315692ad,Erdbeobachtung und Umwelt / Höhe,Höhe
c_59e64dd4,HVD_59e64dd4,Erdbeobachtung und Umwelt / Klima,Klima
c_c3919aec,HVD_c3919aec,Erdbeobachtung und Umwelt / Lebensräume und Biotope,Lebensräume und Biotope
c_63b37dd4,HVD_63b37dd4,Erdbeobachtung und Umwelt / Luft,Luft
c_e4358335,HVD_e4358335,Erdbeobachtung und Umwelt / Lärm,Lärm
c_f399050e,HVD_f399050e,Erdbeobachtung und Umwelt / Meeresregionen,Meeresregionen
c_4dd389c5,HVD_4dd389c5,Erdbeobachtung und Umwelt / Mineralische Bodenschätze,Mineralische Bodenschätze
